sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
#			945_000000000000000_05B	952M	shelf178.gif	Floor 2M	
!!		Brooklyn Stacks					
#			952M	965_000000000000000_04F	shelf179.gif	Floor 2M	
!!		Brooklyn Stacks					
#			965_000000000000000_04F	973B	shelf180.gif	Floor 2M	
!!		Brooklyn Stacks					
#			973B	973_000000000000000_3S	shelf181.gif	Floor 2M	
!!		Brooklyn Stacks					
#			973_000000000000000_3S	973_000000000000000_8N	shelf182.gif	Floor 2M	
!!		Brooklyn Stacks					
#			973_000000000000000_8N	974_000000000000000_4M	shelf183.gif	Floor 2M	
!!		Brooklyn Stacks					
#			974_000000000000000_4M	976_000000000000000_4I	shelf184.gif	Floor 2M	
!!		Brooklyn Stacks					
#			976_000000000000000_4I	999_990000000000000	shelf185.gif	Floor 2M	
!!		Brooklyn Stacks Oversize					
#			720_000000000000000	730_948500000000000	shelf190.gif	Stacks Floor 2M	
!!		Brooklyn Stacks Oversize					
#			730_948500000000000	759_400000000000000	shelf191.gif	Stacks Floor 2M	
!!		Brooklyn Stacks Oversize					
#			759_400000000000000	912_000000000000000	shelf192.gif	Stacks Floor 2M	
!!		Brooklyn Stacks Oversize					
#			912_000000000000000	999_000000000000000	shelf193.gif	Stacks Floor 2M		
!!		Technical Services--Brooklyn					
#				999_990000000000000	ref.gif		Item may be unavailable. Write down the call number and location to request item at reference desk.
!!		Brooklyn Zine Collection					
#			A	Z	ref.gif		Write down the call number and location to request item at reference desk.
!!		VMR Desk, Lower Level					
#				999_990000000000000	vmr_desk.gif		Write down the call number and location to request item at the VMR Desk.
!!		VMR Equipment Loan Office					
#				999_990000000000000	equip.gif		Ask for item at the equipment loan office.
!!		VMR Media					
#				999_990000000000000	vmr_desk.gif		Request item at VMR Desk on lower level.
!	Pratt Manhattan Center						
!!		Manhattan Center Stacks					
#			000_000000000000000	020_190000000000000	PMC_shelf1.gif		
!!		Manhattan Center Stacks					
#			020_190000000000000	021_700000000000000	PMC_shelf2.gif		
!!		Manhattan Center Stacks					
#			021_700000000000000	025_000000000000000	PMC_shelf2-5.gif		
!!		Manhattan Center Stacks					
#			025_000000000000000	025_210000000000000	PMC_shelf3.gif		
!!		Manhattan Center Stacks					
#			025_210000000000000	025_500000000000000	PMC_shelf4.gif		
!!		Manhattan Center Stacks					
#			025_500000000000000	025_700000000000000	PMC_shelf4-5.gif		
!!		Manhattan Center Stacks					
#			025_700000000000000	027_600000000000000	PMC_shelf5.gif		
!!		Manhattan Center Stacks					
